# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/Bpertusis_tohamaI.fna" "-T" "16" "-a" "data/00ref/Bpertusis_tohamaI.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/JK-9534_2_10.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_11.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_12.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_13.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_14.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_15.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_16.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_17.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_18.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_19.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_1.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_20.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_21.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_22.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_23.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_24.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_25.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_26.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_27.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_28.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_29.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_2.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_30.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_31.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_32.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_33.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_34.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_35.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_36.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_3.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_4.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_5.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_6.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_7.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_8.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_9.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/JK-9534_2_10.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_11.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_12.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_13.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_14.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_15.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_16.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_17.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_18.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_19.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_1.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_20.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_21.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_22.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_23.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_24.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_25.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_26.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_27.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_28.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_29.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_2.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_30.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_31.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_32.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_33.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_34.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_35.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_36.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_3.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_4.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_5.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_6.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_7.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_8.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_9.Aligned.sortedByCoord.out.bam
BP_RS16860	NC_002929.2	3573119	3573790	+	672	89.65	78.63	111.91	93.61	39.47	61.75	71.13	33.54	93.20	62.98	31.33	47.22	42.40	117.05	79.66	65.54	68.24	67.95	53.76	93.85	81.82	33.03	44.62	76.65	56.33	53.66	84.21	58.98	69.58	32.04	99.13	58.51	62.76	62.46	44.71	66.47
BP_RS20255	NC_002929.2	3573797	3573997	-	201	33.76	32.72	31.94	55.84	34.35	27.59	43.73	15.39	57.86	39.42	20.93	28.85	24.57	44.92	60.41	31	41.32	34.26	30.59	32.39	28.69	20.64	19.31	39.90	30.27	22.58	45.32	36.44	23.93	8.23	43.72	34.87	30.69	14.80	31.82	34.62
BP_RS16865	NC_002929.2	3574119	3574340	+	222	14.09	12.04	18.96	30.91	16.74	22.06	8.56	8.85	15.81	22.69	5.17	16.82	11.25	15.87	22.05	16.75	18.28	15.40	19.71	11.12	12.12	4.29	8.62	19.42	16.33	12.97	22.90	21.87	13.53	2.08	16.52	5.52	7.77	6.65	16.41	6.79
BP_RS16870	NC_002929.2	3574340	3574621	+	282	5.07	6.51	15.41	10.36	5.58	4.39	2.79	2.92	3.43	9.67	3.56	4.88	4.79	9.98	7.42	1.57	10.31	5.25	4.85	7.37	4.87	4.53	2.77	8.90	5.27	3.24	9.13	6.32	3.76	3.25	7.10	3.11	4.04	4.96	9.88	3.81
BP_RS16875	NC_002929.2	3574618	3575151	-	534	25.65	17.28	28.85	35.82	29.43	26.22	27.55	19.46	26.00	24.96	12.04	29.14	22.88	44.12	32.39	17.72	36.02	43.23	22.03	44.96	41.73	13.63	25.73	32.97	25.40	28.85	38.98	23.13	31.19	7.58	20.01	18.21	11.39	17.85	17.92	17.26
BP_RS16880	NC_002929.2	3575133	3575684	-	552	61.62	59.65	76.23	79.39	39.87	50.98	67.56	14.65	68.76	64.36	33.26	61.65	35.03	97.94	74.11	36.49	86.13	75.60	53.93	74.50	87.89	23.58	40.28	62.77	55.32	48.99	83.10	68.44	65.65	14.39	52.94	48.08	49.01	32.88	49.05	46.42
BP_RS16885	NC_002929.2	3575663	3575905	-	243	27.85	23.67	40.42	23.50	17.55	10.96	22.94	17.12	19.57	26.81	19.08	14.35	14.68	35.97	24.45	20.25	36.20	35.64	20.34	27.79	26.65	13.28	15.04	25.41	27.78	24.65	49.78	25.44	23.92	5.12	27.40	25.35	27.07	19.66	26.85	23.20
BP_RS16890	NC_002929.2	3575910	3576722	-	813	52.60	65.80	90.43	63.12	56.04	49.63	60.90	36.75	80.23	58.77	31.67	45.66	52.69	98.53	93.38	45.56	86.98	69.12	71.88	76.61	75.30	27.64	49.23	70.57	66.22	49.30	82.02	83.34	74.77	13.03	72.54	55.19	42.70	44.14	46.17	38.80
BP_RS16895	NC_002929.2	3576722	3576985	-	264	20.82	18.83	24.36	14.82	22.08	20.43	26.62	11.65	29.08	18.28	9.33	11.48	29.76	39.25	22.16	16.05	19.43	16.87	31.39	18.78	13.79	13.74	14.49	22.34	18.01	16.15	22.90	19.42	14.45	5.23	21.19	18.67	24.68	13.83	21.23	15.45
BP_RS16900	NC_002929.2	3577026	3577223	-	198	12	10.69	11.74	10.86	7.62	7.66	13.97	7.50	18.77	9.03	9.50	7.46	12.64	17.96	12.81	10.50	7.55	10.14	15.50	15.33	8.02	6.07	11	12.67	7.10	7.75	9.81	8.75	17.24	5.50	7.88	14	12.58	6.10	7.25	6.46
BP_RS16905	NC_002929.2	3577204	3577620	-	417	36.10	31.37	44.33	46.19	27.46	32.33	41.77	25.75	53.80	33.05	24.73	35.19	25.10	64.34	44.78	25.93	45.06	41.79	39.03	46.50	39.62	22.59	19.42	42.32	45.49	28.64	48.75	28.41	41.33	5.25	23.56	20.75	32.26	26.83	30.82	26.00
BP_RS16910	NC_002929.2	3577625	3581581	-	3957	273.88	265.11	393.68	382.35	189.96	210.38	336.15	141.18	376.01	354.31	129.70	295.06	205.29	564.35	408.39	249.14	361.78	349.54	275.47	470.82	415.15	148.68	251.50	390.30	295.78	234.07	504.32	347.24	352.12	78.54	318.85	238.43	302.31	166.35	212.14	187.26
BP_RS16915	NC_002929.2	3581574	3581963	-	390	14.48	23.44	37.76	38.78	25.67	29.51	33.92	18.19	31.94	21.70	13.72	20.08	36.17	34.52	30.40	23.43	27.20	29.76	26.35	28.81	25.00	8.89	20.03	34.11	21.58	23.46	27.56	26.77	24.94	5.85	29.61	19.74	25.91	25.00	31.89	13.83
BP_RS16920	NC_002929.2	3581960	3582493	-	534	200.91	227.80	321.14	419.50	164.04	187.34	278.08	79.05	342.58	392.51	143.85	301.76	198.38	449.41	383.28	162.62	367.32	307.19	241.70	418.66	377.68	126.36	216.11	299.89	231.77	228.48	416.84	277.86	292.56	74.17	226.85	220.34	232.92	176.51	235.20	177.17
BP_RS16925	NC_002929.2	3582561	3582920	-	360	13.52	12.99	12.02	15.21	7.62	11.04	25.91	1.57	23.06	11.20	7.40	9.09	11.26	18.90	17.59	3.62	17.22	13.24	12.74	17.71	17.41	2.91	9.94	12.60	14.55	16.74	14.48	9.73	12.83	3.19	22.30	8.91	9.75	12.09	7.21	5.48
BP_RS16930	NC_002929.2	3582930	3585542	-	2613	93.68	74.29	138.77	142.33	71.43	92.16	112.78	29.68	113.11	96.60	59.98	112.49	67.53	166.78	127.40	44.55	130.13	118.16	106.56	112.33	117.37	60.14	55.88	115.48	108.93	54.01	140.69	90.64	119.82	20.91	117.91	63.30	86.44	60.71	88.73	59.36
BP_RS16935	NC_002929.2	3585568	3585846	-	279	20.75	12.24	22.25	11.50	7.61	10.75	17.01	7.47	19.32	14.58	2.19	5.64	18.08	18.79	8.91	3.79	15.49	15.80	11.41	21.33	23.92	6.87	12.16	17.85	10.35	10.17	24.37	21.42	18.27	1.25	11.35	15.26	13.28	6.17	9.95	4.70
BP_RS16940	NC_002929.2	3585876	3586205	-	330	55.14	38.32	33.77	32.11	32.39	16.84	32.28	14.00	29.70	23.51	16.31	19.39	8.08	30.49	37.81	15.83	27.48	29.81	22.04	37.71	31.54	4.17	19.58	32.77	17.30	13.45	35.10	34.42	22.61	6.42	17.38	16.61	23.41	15.43	23.11	14.31
BP_RS16945	NC_002929.2	3586215	3586847	-	633	26.28	29.38	46.59	33.21	27.57	37.49	36.15	24.90	40.86	37.10	23.24	36.53	45.98	55.63	44.60	32.53	33.99	35.54	38.60	39.44	30.61	15.59	29.61	42.94	28.13	26.73	46.31	38.74	33.74	7.48	33.90	32.53	30.87	20.14	29.87	27.72
BP_RS16950	NC_002929.2	3586988	3587488	-	501	10.63	6.37	17.00	13.76	15.18	9.58	15.89	4.73	14.41	18.17	4.58	8.16	17.83	19.46	16.06	6.56	10.38	15.55	13.13	14.58	10.75	4.55	9.44	31.69	20.09	4.44	16.59	9.18	14.08	0.25	11.28	7.83	9.26	7.61	7.00	4.85
BP_RS16955	NC_002929.2	3587496	3587918	-	423	9.83	5.67	14.22	7.58	8.84	8.68	12.73	2	8.14	4.49	1.94	3.59	10.19	10.53	7.98	3.37	5.62	5.78	2.70	4.91	7.29	3.83	6.04	17.16	7.51	2.44	8.44	15.37	11.57	0.56	4.60	5.47	7.19	6.18	9.06	3.71
BP_RS16960	NC_002929.2	3587915	3588313	-	399	5.65	4.22	8.70	8.30	5.07	2.63	6.41	3.06	5.44	7.11	1.92	4.75	0.69	8.78	8.52	3	6.02	6.47	4.53	8.37	5.37	1.86	2.50	7.13	10.22	3.59	12.17	6.09	7.01	1.56	4.95	3.06	6.07	5.44	1.91	2.99
BP_RS16965	NC_002929.2	3588310	3588705	-	396	4.22	3.45	7.28	4.49	4.25	1.92	3.82	3.00	7.58	4.34	2.71	6.26	3.58	12.03	4.88	1.33	3.94	5.14	6.99	9.61	4.27	6.17	5.39	5.26	1.59	3.83	7.60	1.32	1.74	1.62	2.29	3.94	5.20	4.51	9.34	0
BP_RS16970	NC_002929.2	3588705	3588884	-	180	17.89	45.46	85.17	83.15	26.17	43.57	70.40	22.18	82.97	84.45	23.55	78.36	43.68	121.91	74.94	60.88	82.04	67.63	66.74	104.56	89.80	27.77	66.31	80.42	71.07	61.98	130.13	70.59	81.78	9.54	53.24	41.36	50.97	42.09	38.65	38.57
BP_RS16975	NC_002929.2	3588907	3589389	-	483	6.77	14.71	10.28	14.29	9.09	10.93	9.62	5.14	10.05	11.53	2.84	16.08	4.84	17.04	10.17	7.40	12.62	13.79	7.00	17.34	20.42	5.18	6.03	12.55	14.68	10.69	14.16	13.74	16.20	1.65	14.62	8.95	16.06	7.70	11.10	6.13
BP_RS16980	NC_002929.2	3589452	3589703	-	252	19.63	15.54	13.07	24.15	10.10	11.53	13.44	9.84	16.27	7.73	6.10	5.32	11.45	19.62	7.85	19.20	16.48	14.14	8	15.75	15.35	11.53	4.20	13.60	14.02	8.22	13.49	14.58	9.51	4.36	23.37	24.92	17.62	13.67	21.72	15.46
BP_RS16985	NC_002929.2	3589713	3590360	-	648	335.52	298.68	571.32	531.06	461.61	490.94	484.82	69.26	708.93	798.35	179.29	515.96	435.53	822.93	653.80	292.59	627.70	746.66	540.03	633.41	661.62	165.03	352.01	829.11	475.91	327.79	816.61	580.12	560.62	71.34	233.15	224.93	268.95	263.89	708.72	314.15
BP_RS16990	NC_002929.2	3590378	3591328	+	951	5.05	10.68	11.51	19.38	8.96	12.23	14.86	7.31	14.99	10.88	9.08	11.69	5.28	28.08	17.58	16.02	18.76	10.05	10.39	26.70	13.95	6.62	3.24	16.69	17.81	15.52	21.45	16.58	16.78	5.56	7.22	13.33	14.73	9.06	22.49	15.27
BP_RS16995	NC_002929.2	3591308	3591730	-	423	29.30	56.61	86.34	89.86	34.42	49.35	72.80	26.62	84.77	96.93	27.98	80.51	49.18	126.52	84.43	70.15	85.70	74.98	77.45	115.83	104.87	26.81	75.43	90.96	74.85	71.14	131.57	74.25	81.83	11.66	48.90	42.86	47.73	41.41	45.68	37.07
BP_RS17000	NC_002929.2	3591757	3592359	-	603	10.21	17.57	16.44	15.86	7.46	8.79	12.28	2	4.86	11.90	8.75	4.60	5.29	12.69	6.39	2.51	8.77	6.28	12.30	7.91	10.60	4.14	7.58	8.41	7.29	2.03	7.49	4.74	7.93	4.48	9.13	10.16	6.85	4.67	6.05	17.95
BP_RS17005	NC_002929.2	3592482	3592724	-	243	364.23	367.83	560.90	523.48	372.21	372.90	279.16	267.80	319.44	436.74	335.48	383.67	418.52	433.52	352.08	283.95	653.79	545.40	467.44	356.07	391.12	353.50	217.97	414.99	406.46	368.30	337.39	331.32	272.62	139.61	397.67	304.19	326.22	335.07	512.70	340.45
BP_RS17010	NC_002929.2	3592730	3593842	-	1113	24.66	21.05	36.68	33.47	26.82	29.39	36.67	17.13	54.71	36.17	18.28	24.09	28.32	61.54	51.09	36.44	28.91	27.87	44.20	70.25	79.22	16.57	24.95	44.30	25.70	19.26	61.88	43.80	32.78	4.93	23.49	16.14	18.28	23.43	34.00	18.71
BP_RS17015	NC_002929.2	3593814	3595232	-	1419	46.35	34.86	31.37	41.71	29.49	36.30	42.90	10.96	52.34	34.18	12.62	37.16	31.94	69.75	58.03	37.77	48.68	44.52	44.48	45.32	53.77	9.77	36.94	39.24	31.92	27.91	50.74	51.01	43.12	8.72	43.36	36.09	38.36	26.07	26.11	18.84
BP_RS17020	NC_002929.2	3595235	3596512	-	1278	54.15	60.74	90.78	79.86	51.20	53.53	77.60	17.66	81.21	81.65	28.42	64.03	36.30	102.44	88.86	52.58	75.93	79.97	61.41	77.94	91.67	28.82	60.20	67.10	63.95	58.08	88.78	78.28	65.40	18.38	58.74	55.97	60.34	43.96	54.29	53.68
BP_RS17025	NC_002929.2	3596499	3596984	-	486	49.09	42.49	46.84	52.06	37.19	30.37	44.30	31.82	64.40	35.87	19.94	36.89	39.77	71.29	72.26	35.51	53.76	47.75	59.38	66.10	64.89	18.07	33.32	43.99	37.22	39.89	64.92	36.44	41.25	8.28	37.72	42.56	31.74	20.80	42.12	26.58
BP_RS17030	NC_002929.2	3597624	3598574	-	951	1.36	2.25	3.18	2.44	1.78	1.11	3.20	1.21	2.62	4.56	1.81	0.92	0.15	2.39	2.39	1.61	2.30	2.51	2.16	2.02	2.54	0.87	0.56	0.99	0.96	0.53	4.69	2.39	3.20	0.26	2.83	2.33	2.03	2.39	3.45	2.19
BP_RS17035	NC_002929.2	3598831	3599520	-	690	152.16	132.07	342.38	174.22	92.78	91.63	159.35	21.15	108.42	94.39	29.67	101.73	51.72	378.19	374.44	34.86	135.24	137.64	52.71	102.95	213.56	39.00	64.86	93.14	163.37	33.04	340.11	153.68	286.47	21.45	128.96	87.01	121.26	93.82	56.20	67.79
BP_RS17040	NC_002929.2	3599513	3599764	-	252	35.05	37.03	47.22	20.63	29.61	20.69	29.83	18.28	29.88	38.54	9.87	30.30	12.61	53.46	55.26	33.45	40.26	38.79	20.17	21.26	35.93	8.18	20.83	29.03	24.50	13.62	68.99	58.33	45.57	7.40	27.87	30.46	31.67	12.93	19.36	9.23
BP_RS19950	NC_002929.2	3599836	3600930	+	1095	696.18	708.89	996.79	1396.61	688.96	717.50	738.33	495.09	862.35	976.34	457.38	845.40	592.22	1263.02	1098.76	765.59	1263.46	1193.22	899.65	1003.88	1022.77	505.49	651.03	954.44	859.26	800.40	1172.18	1076.19	946.21	302.10	759.34	648.62	620.47	668.67	830.55	650.21
BP_RS17050	NC_002929.2	3601002	3601208	+	207	170.83	158.45	215.61	146.03	118.48	102.90	86.50	78	135.75	139.20	103.50	108.90	82.95	206.75	162.75	105	195.35	210.74	161.96	122.07	151.67	110.89	94.60	148.31	145.50	161.50	149.82	144.75	122.36	47	156.92	135.11	147.70	152.29	186.75	146.17
BP_RS17055	NC_002929.2	3601460	3602410	-	951	0.99	3.64	5.44	3.08	3.28	1.73	2.91	0.21	7.98	5.35	0.88	1.30	1.25	4.44	4.26	0.75	3.44	3.51	3.56	4.29	4.15	0.87	1.52	1.59	0.94	0.53	5.09	2.64	3.27	0.26	5.03	2.23	2.69	3.02	5.48	5.06
BP_RS17060	NC_002929.2	3602509	3603309	-	801	137.81	166.08	218.49	178.96	133.44	107.85	103.89	52.56	146.38	141.96	97.53	122.57	121.00	205.41	172.67	102.31	171.88	162.25	149.28	170.42	186.66	111.91	88.96	138.41	131.68	112.20	194.92	134.54	135.80	35.24	164.14	111.45	123.28	143.20	171.35	154.60
BP_RS17065	NC_002929.2	3603371	3603754	+	384	163.27	154.83	309.26	199.41	137.48	141.05	148.06	171.50	308.60	192.68	101.08	144.20	167.96	271.52	216.84	220.82	202.38	211.31	180.92	228.68	253.92	122.57	127.15	194.62	128.29	146.97	225.03	204.23	178.13	48.50	190.67	176.19	184.02	111.00	234.10	137.31
BP_RS17070	NC_002929.2	3603766	3605199	-	1434	1380.38	1515.44	2387.78	1550.48	1140.98	1146.26	1018.42	852.85	1552.36	1482.58	869.08	1435.37	1209.56	1732.78	1417.42	1090.14	2048.08	1912.81	1431.03	1502.96	1643.78	797.44	796.27	1500.82	1309.15	1306.44	1417.58	1243.95	1056.02	466.34	1766.87	1189.51	1184.60	1084.31	1515.90	999.19
BP_RS17075	NC_002929.2	3605406	3605735	-	330	50.89	46.71	69.02	87.75	49.61	57.51	42.42	31.79	80.69	65.42	41.26	62.01	53.46	91.99	57.35	42.45	104.92	88.20	85.98	77.42	75.70	33.60	41.74	110.17	70.95	68.45	74.61	74.28	37.67	27.25	60.52	51.29	57.84	71.00	64.65	78.95
BP_RS17080	NC_002929.2	3605738	3606487	-	750	125.14	122.67	245.43	271.49	170.16	190.45	118.86	69.83	189.04	183.27	100.84	186.31	146.22	218.16	174.00	97.12	251.48	231.56	221.05	151.02	208.38	117.60	88.32	225.96	174.84	166.36	179.74	135.21	121.16	50.42	164.81	119.25	111.46	142.03	236.78	146.88
BP_RS17085	NC_002929.2	3606670	3607590	+	921	1042.00	998.04	1777.11	1961.86	1402.51	1316.97	983.79	539.17	1338.50	1786.05	758.47	1647.00	1398.08	1635.44	1578.93	993.46	2067.45	2158.18	1529.70	1431.96	1566.17	831.12	704.71	2031.22	1473.05	1451.36	1358.19	1261.90	1075.23	304.46	997.53	877.25	837.76	1092.70	1753.72	1112.44
BP_RS17090	NC_002929.2	3607637	3607849	+	213	77.60	77.62	120.75	46.10	41.93	46.22	32.97	33.27	48.47	64.29	51.80	57.77	50.88	57.60	47.55	27.07	56.37	48.98	48.93	54.52	32.33	59.50	19.64	70.90	47.05	41.10	44.50	47.24	44.18	26.62	98.62	49.23	57.85	82.30	76.73	81.21
BP_RS17095	NC_002929.2	3607872	3608294	+	423	185.29	205.00	276.10	259.99	196.64	248.91	167.35	140.38	248.37	278.45	156.34	247.78	201.30	331.04	270.94	178.75	289.40	392.16	256.63	227.32	257.04	170.85	156.33	301.63	201.86	222.19	242.60	287.02	173.13	91.50	198.84	141.04	155.28	158.24	285.42	212.58
BP_RS17100	NC_002929.2	3608311	3609411	+	1101	386.81	416.46	597.83	465.13	396.76	403.60	290.12	228.98	479.49	545.12	325.77	454.06	357.13	500.77	423.94	297.66	615.37	574.56	585.96	423.81	482.52	299.25	224.54	540.73	404.46	379.07	413.72	389.35	291.99	140.00	431.50	322.01	326.59	402.13	626.04	425.17
BP_RS17105	NC_002929.2	3609508	3611025	-	1518	294.07	283.16	417.28	325.76	251.44	207.97	270.97	191.56	393.47	328.68	188.25	259.36	250.11	534.01	452.41	344.02	394.45	413.91	421.39	338.80	363.64	190.40	204.45	375.81	348.56	394.65	422.93	384.65	366.42	76.97	297.07	292.96	256.18	239.60	400.32	275.27
BP_RS17110	NC_002929.2	3611101	3611940	+	840	215.99	226.97	291.12	265.91	164.80	172.65	194.00	91.60	293.17	209.45	137.54	242.21	110.00	422.29	354.77	149.04	318.61	336.91	255.92	315.93	249.53	132.10	168.09	364.15	196.58	225.20	324.55	245.51	289.55	57.83	222.79	195.97	155.33	139.97	241.69	154.71
BP_RS17115	NC_002929.2	3611962	3612843	-	882	301.71	272.01	438.72	465.82	375.23	318.26	192.89	182.07	371.47	439.10	294.95	404.31	367.65	385.91	312.68	230.01	609.46	496.28	467.65	343.90	392.38	285.22	209.36	572.35	453.16	404.29	319.62	268.78	262.00	142.89	316.31	244.87	238.13	343.82	507.39	416.29
BP_RS17120	NC_002929.2	3612925	3614019	-	1095	122.68	131.67	211.15	631.78	454.98	409.00	99.99	45.50	129.35	470.93	320.99	461.67	371.49	171.05	130.91	86.66	670.14	715.66	625.65	129.55	142.44	379.12	71.40	589.04	526.12	511.96	126.36	128.36	106.35	168.37	179.88	92.19	82.32	433.93	677.44	475.50
BP_RS17125	NC_002929.2	3614313	3615263	-	951	7.45	3.63	15.97	10.59	11.78	4.15	8.74	4.69	7.88	6.81	5.34	4.13	5.40	15.65	9.20	4.49	9.04	10.99	8.34	7.28	6.49	6.69	6.11	12.93	6.10	4.99	11.77	10.61	4.66	1.83	8.89	9.97	8.15	8.85	6.58	12.84
BP_RS17130	NC_002929.2	3615338	3616279	+	942	180.39	204.56	336.69	362.97	188.64	190.07	150.45	99.88	201.07	238.99	158.81	215.78	214.73	252.57	190.96	137.39	271.40	263.37	214.29	214.69	221.17	163.74	118.50	282.49	188.85	150.58	195.48	160.37	162.58	101.45	252.10	155.80	162.21	255.72	243.70	233.28
BP_RS17135	NC_002929.2	3616378	3617328	+	951	10.12	10.40	20.90	31.52	13.32	11.55	17.75	6.89	17.41	18.84	8.50	10.24	10.11	25.22	17.27	7.84	16.99	32.60	22.16	18.42	21.43	9.52	11.61	16.51	14.99	10.98	24.73	19.20	27.97	5.25	20.93	12.64	14.19	24.13	15.59	23.79
BP_RS17140	NC_002929.2	3617412	3617771	-	360	46.88	68.48	144.50	142.99	82.17	69.54	41.86	40	52.28	97.77	58.49	90.74	99.42	74.43	45.64	31.20	115.92	93.67	77.86	69.31	86.15	50.24	31.86	88.32	61.55	65.12	43.91	53.37	43.44	35.70	98.94	45.68	61.28	75.48	113.95	53.57
BP_RS17145	NC_002929.2	3618153	3619190	-	1038	532.00	474.31	851.34	872.32	365.25	379.06	339.10	201.64	429.50	624.21	282.10	540.31	552.29	588.42	487.17	355.22	648.33	543.76	424.87	585.18	641.35	260.41	261.86	637.94	346.40	286.02	417.59	364.43	331.91	172.00	575.47	385.73	354.45	473.75	425.79	457.25
BP_RS17150	NC_002929.2	3619507	3620847	+	1341	164.36	139.60	281.34	124.31	108.33	113.10	96.89	58.59	190.69	91.43	67.65	91.21	77.62	182.93	175.83	103.38	135.03	162.02	129.45	129.04	148.65	81.66	78.20	138.06	109.26	94.72	123.32	139.25	110.31	28.05	156.68	126.25	130.60	85.31	138.78	114.20
BP_RS17155	NC_002929.2	3620857	3621309	-	453	153.15	159.87	229.49	207.33	139.97	140.92	128.52	97.70	250.19	166.90	93.22	164.53	194.11	205.86	176.95	124.62	200.58	222.72	166.17	187.59	191.47	94.07	106.06	212.03	161.46	136.11	209.32	170.36	138.49	46.12	148.71	125.23	123.15	122.50	176.92	142.64
BP_RS17160	NC_002929.2	3621406	3622587	+	1182	572.44	442.08	743.93	504.00	352.97	403.66	434.72	274.13	676.86	523.35	224.98	467.44	472.03	745.70	698.22	528.16	571.03	647.02	520.49	652.91	731.98	271.49	356.72	597.02	505.09	411.79	700.85	632.45	508.65	126.35	433.68	384.21	421.40	331.86	581.28	379.61
BP_RS17165	NC_002929.2	3622653	3623678	+	1026	1088.12	1165.29	1741.43	1804.07	1046.39	1119.10	937.21	741.72	1412.09	1600.42	705.97	1449.59	1110.96	1931.10	1541.16	970.61	1989.41	1990.46	1426.39	1468.72	1551.76	741.67	839.53	1808.87	1379.70	1355.23	1591.29	1347.37	1216.64	371.08	1292.93	906.12	900.22	1007.90	1211.24	1038.16
BP_RS17170	NC_002929.2	3623719	3623958	+	240	115.58	102.92	159.78	148.62	80.18	107.35	68.93	74.51	120.78	116.13	71.42	104.55	77.71	142.31	138.63	92.85	144.15	175.40	112.63	113.90	123.37	78.17	61.50	119.34	123.04	104.87	121.98	114.85	80.73	42.11	129.70	77.84	76.81	105.12	128.20	111.58
